competitor,comp_path,staples_carries,gold_staples_path,source,labeller,note
Walmart,Health and Medicine > Digestive Health > Replenza,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Vitamins & Supplements,verification loop,Claude labelling agent (review with team),GLP-1 support daily supplement (tablets/drink mix); vitamins & supplements shelf
Walmart,Health and Medicine > Allergy Medicine > Rhinocort,1,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy",verification loop,Claude labelling agent (review with team),allergy nasal spray; allergy medicine shelf
Walmart,Health and Medicine > Allergy Medicine > Xyzal,1,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy",verification loop,Claude labelling agent (review with team),antihistamine; allergy medicine shelf
Walmart,Health and Medicine > Allergy Medicine > Mabis,1,Healthcare Supplies > Patient Care > Respiratory Therapy > Aerosol Therapy,verification loop,Claude labelling agent (review with team),judgement: Mabis allergy line = steam inhalers/nebulizers; Staples sells Mabis steam inhaler
Walmart,Health and Medicine > Allergy Medicine > AstePRO,1,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy",verification loop,Claude labelling agent (review with team),allergy nasal spray; allergy medicine shelf
Walmart,Health and Medicine > Allergy Medicine > Alavert,1,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy",verification loop,Claude labelling agent (review with team),loratadine antihistamine; allergy medicine shelf
Walmart,Health and Medicine > Digestive Health > Lactaid,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids,verification loop,Claude labelling agent (review with team),"lactase digestive aid; digestive aids shelf (thin, 3 items) but on-type"
Amazon,"Industrial & Scientific > Test, Measure & Inspect > Substance Analysis Instrumentation",1,"Laboratory & Scientific Supplies > PH & Electrochemistry|Safety Supplies > Test Instruments, Meters & Precision Tools",verification loop,Claude labelling agent (review with team),"judgement: pH meter, gas detector on test-instrument shelf + pH/electrochem shelf"
Amazon,"Industrial & Scientific > Hydraulics, Pneumatics & Plumbing > Seals & O-Rings",0,,verification loop,Claude labelling agent (review with team),judgement: industrial seals/O-ring kits; no Staples seal shelf (faucet repair parts only)
Amazon,"Industrial & Scientific > Adhesives, Sealants & Lubricants > Contact Cements",1,"Facilities > Adhesives, Sealants and Patching > Adhesives > Commercial Adhesives|Tools, Parts & Supplies > Industrial Adhesives, Sealants & Tapes",verification loop,Claude labelling agent (review with team),judgement: contact cement within commercial/industrial adhesives (cf. Adhesive Primers=1)
Amazon,"Patio, Lawn & Garden > Outdoor Power Tools > Sawmills",0,,verification loop,Claude labelling agent (review with team),portable chainsaw mills; no Staples shelf
OfficeDepot,Office Supplies > Labor Law & Workplace Posters > Federal & State Poster Kits,1,Facilities > Facilities Signs > Labor Law Posters,verification loop,Claude labelling agent (review with team),labor law poster kits; exact shelf
Walmart,Personal Care > Feminine Care > Douches,0,,verification loop,Claude labelling agent (review with team),no douche/feminine-wash shelf; Period Care = pads/tampons only
Amazon,"Patio, Lawn & Garden > Outdoor Power Tools > Hedge Trimmers",0,,verification loop,Claude labelling agent (review with team),judgement: site search finds one Sun Joe shear/hedge trimmer combo; not core of Lawn & Garden Tools
