competitor,comp_path,staples_carries,gold_staples_path,source,labeller,note
Amazon,"Patio, Lawn & Garden > Gardening & Lawn Care > Plant Support Structures",0,,verification loop,Claude labelling agent (review with team),trellises/plant stakes not carried (cf. Outdoor > Garden=0)
Amazon,"Home & Kitchen > Bedding > Bedspreads, Coverlets & Sets",1,Furniture > Decor > Beds & Bedding > Bedding,verification loop,Claude labelling agent (review with team),judgement: Bedding shelf thin (3 items) but on-type; consistent with Quilts & Sets=1
Wayfair,"Bedding & Bath > Bedding & Bedding Sets > Quilts, Coverlets, & Sets",1,Furniture > Decor > Beds & Bedding > Bedding,verification loop,Claude labelling agent (review with team),judgement: Bedding shelf thin (3 items) but on-type; consistent with Quilts & Sets=1
WestElm,Bedding > All Bedding > Quilts,1,Furniture > Decor > Beds & Bedding > Bedding,verification loop,Claude labelling agent (review with team),judgement: Bedding shelf thin (3 items) but on-type; consistent with Quilts & Sets=1
Amazon,"Patio, Lawn & Garden > Outdoor Décor > Cupolas & Accessories",0,,verification loop,Claude labelling agent (review with team),no cupolas; site search finds none
Amazon,"Patio, Lawn & Garden > Outdoor Décor > Weathervanes",0,,verification loop,Claude labelling agent (review with team),judgement: search finds no weathervanes; Weather Instruments = thermometers/stations (conflicts Walmart Weathervanes=1)
Wayfair,Outdoor > Outdoor Décor > Weathervanes & Cupolas,0,,verification loop,Claude labelling agent (review with team),judgement: search finds no weathervanes/cupolas (conflicts Walmart Weathervanes=1)
Amazon,"Patio, Lawn & Garden > Pools, Hot Tubs & Supplies > Saunas",0,,verification loop,Claude labelling agent (review with team),saunas not carried; search finds none (cf. hot tubs=0)
Walmart,Patio & Garden > Saunas > Infrared Saunas,0,,verification loop,Claude labelling agent (review with team),saunas not carried; infrared search = patio heaters only
Wayfair,"Outdoor > Hot Tubs, Saunas & Pools > Saunas",0,,verification loop,Claude labelling agent (review with team),saunas not carried; search finds none (cf. hot tubs=0)
Wayfair,Shop Hospitality Spaces > Salon & Spa > Saunas,0,,verification loop,Claude labelling agent (review with team),saunas not carried; Spa & Massage = tables/stools/tools
Amazon,Electronics > Video Game Consoles & Accessories > PlayStation 4,1,Gaming,verification loop,Claude labelling agent (review with team),legacy console platform; same product type -> Gaming dept (cf. PS3=1)
Amazon,Electronics > Video Game Consoles & Accessories > PlayStation Vita,1,Gaming|Gaming > Handheld Consoles,verification loop,Claude labelling agent (review with team),legacy handheld platform; Gaming dept / Handheld Consoles (cf. PS3=1)
Amazon,"Patio, Lawn & Garden > Patio Furniture & Accessories > Canopies, Gazebos & Pergolas",0,,verification loop,Claude labelling agent (review with team),judgement: no gazebos/pergolas; only Ergodyne pop-up canopies in Camping (cf. Outdoor Shades=0)
Walmart,Patio & Garden > Outdoor Shade > Gazebo Canopies,0,,verification loop,Claude labelling agent (review with team),no gazebos; search finds only a replacement pop-up tent top
Wayfair,Outdoor > Outdoor Shades > Gazebos,0,,verification loop,Claude labelling agent (review with team),no gazebos (cf. Outdoor Shades=0)
Amazon,Home & Kitchen > Home Décor > Tapestries,0,,verification loop,Claude labelling agent (review with team),no fabric tapestries; search = canvas art titled Tapestry (cf. Teen Tapestries=0)
Wayfair,Decor & Pillows > Wall Décor > Tapestries,0,,verification loop,Claude labelling agent (review with team),no fabric tapestries; search = canvas art titled Tapestry (cf. Teen Tapestries=0)
Amazon,"Patio, Lawn & Garden > Farm & Ranch > Plant Germination Equipment",0,,verification loop,Claude labelling agent (review with team),germination gear not carried (cf. Greenhouses & Plant Germination=0)
